"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_계_5~9세","2017년_계_10~14세","2017년_계_15~19세","2017년_계_20~24세","2017년_계_25~29세","2017년_계_30~34세","2017년_계_35~39세","2017년_계_40~44세","2017년_계_45~49세","2017년_계_50~54세","2017년_계_55~59세","2017년_계_60~64세","2017년_계_65~69세","2017년_계_70~74세","2017년_계_75~79세","2017년_계_80~84세","2017년_계_85~89세","2017년_계_90~94세","2017년_계_95~99세","2017년_계_100세 이상"
"부산광역시  (2600000000)","3,470,653","3,470,653","123,780","134,952","133,256","176,788","231,095","220,696","207,213","260,411","252,607","292,445","276,951","322,593","272,339","200,278","143,551","116,352","63,737","28,416","9,367","2,212","1,614"
"부산광역시 중구 (2611000000)","44,218","44,218","900","978","1,052","1,710","2,647","3,001","2,493","2,758","2,926","3,661","3,438","4,345","4,227","3,292","2,569","2,196","1,116","558","213","65","73"
"부산광역시 서구 (2614000000)","110,039","110,039","2,696","3,142","3,473","4,892","7,184","6,736","5,465","7,057","6,957","8,711","8,568","10,944","9,752","7,907","6,176","5,310","3,015","1,348","473","132","101"
"부산광역시 동구 (2617000000)","88,868","88,868","2,092","2,247","2,382","3,679","5,139","5,273","4,777","5,647","5,776","7,097","6,730","8,746","8,207","6,822","5,258","4,687","2,656","1,114","367","85","87"
"부산광역시 영도구 (2620000000)","123,521","123,521","2,946","3,637","3,801","5,631","7,157","6,670","6,068","7,551","8,087","9,662","9,739","12,561","11,718","9,329","7,362","6,236","3,260","1,409","469","116","112"
"부산광역시 부산진구 (2623000000)","371,703","371,703","12,292","12,749","12,320","16,886","25,582","27,423","24,977","28,117","26,304","29,962","28,652","34,195","29,302","21,886","15,814","13,469","7,279","3,109","924","248","213"
"부산광역시 동래구 (2626000000)","270,727","270,727","8,840","11,092","11,792","15,319","17,948","16,541","15,053","19,665","20,518","23,662","21,527","24,924","21,149","15,720","10,858","8,480","4,590","2,072","709","144","124"
"부산광역시 남구 (2629000000)","273,854","273,854","8,602","10,737","11,196","14,727","18,723","17,007","14,646","19,450","20,669","23,909","20,707","24,035","21,482","16,765","12,713","10,028","5,202","2,226","751","162","117"
"부산광역시 북구 (2632000000)","302,924","302,924","11,282","11,559","11,907","17,109","22,524","20,502","17,783","21,280","20,883","26,095","27,482","30,675","22,843","15,273","10,226","8,167","4,478","1,985","638","140","93"
"부산광역시 해운대구 (2635000000)","412,039","412,039","14,267","17,666","19,194","24,755","27,723","24,129","21,942","30,010","32,711","39,193","34,738","36,249","29,513","20,838","14,914","12,408","7,179","3,216","1,051","210","133"
"부산광역시 사하구 (2638000000)","333,301","333,301","11,905","13,117","12,784","17,945","22,926","20,910","20,235","24,965","23,797","28,355","27,367","32,185","26,549","18,545","12,770","10,007","5,324","2,441","859","177","138"
"부산광역시 금정구 (2641000000)","244,469","244,469","7,047","8,300","8,806","12,685","19,110","16,438","13,322","16,216","16,061","20,066","20,414","23,902","20,091","14,843","10,571","8,507","4,837","2,165","721","192","175"
"부산광역시 강서구 (2644000000)","117,382","117,382","9,615","7,929","4,767","4,128","4,958","6,550","10,920","14,450","9,787","7,828","7,010","8,807","7,428","4,868","3,211","2,564","1,428","765","264","67","38"
"부산광역시 연제구 (2647000000)","206,742","206,742","7,536","8,034","8,015","10,308","13,407","13,082","12,676","15,961","15,253","17,415","16,176","18,800","16,479","12,106","8,586","6,880","3,703","1,620","494","147","64"
"부산광역시 수영구 (2650000000)","179,996","179,996","5,874","5,691","5,834","8,039","11,561","12,790","12,160","13,927","12,468","14,461","13,207","16,334","15,029","11,516","8,407","6,566","3,674","1,736","568","100","54"
"부산광역시 사상구 (2653000000)","229,219","229,219","7,846","7,968","7,722","11,011","16,584","15,915","14,169","16,679","15,406","19,070","20,909","24,598","18,627","12,885","8,320","6,277","3,316","1,337","420","100","60"
"부산광역시 기장군 (2671000000)","161,651","161,651","10,040","10,106","8,211","7,964","7,922","7,729","10,527","16,678","15,004","13,298","10,287","11,293","9,943","7,683","5,796","4,570","2,680","1,315","446","127","32"
