"행정구역","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~4세","2022년_계_5~9세","2022년_계_10~14세","2022년_계_15~19세","2022년_계_20~24세","2022년_계_25~29세","2022년_계_30~34세","2022년_계_35~39세","2022년_계_40~44세","2022년_계_45~49세","2022년_계_50~54세","2022년_계_55~59세","2022년_계_60~64세","2022년_계_65~69세","2022년_계_70~74세","2022년_계_75~79세","2022년_계_80~84세","2022년_계_85~89세","2022년_계_90~94세","2022년_계_95~99세","2022년_계_100세 이상"
"전국  (0000000000)","51,439,038","51,439,038","1,427,590","2,105,052","2,357,952","2,345,244","2,941,841","3,475,340","3,317,257","3,298,254","4,026,249","4,046,868","4,542,072","4,069,992","4,218,037","3,185,502","2,208,256","1,617,461","1,303,349","667,244","229,306","48,439","7,733"
"서울특별시  (1100000000)","9,428,372","9,428,372","227,619","317,698","362,502","386,616","578,374","811,109","758,697","667,111","730,905","718,801","801,828","690,974","717,931","579,856","408,481","305,015","219,561","101,648","34,536","7,818","1,292"
"부산광역시  (2600000000)","3,317,812","3,317,812","81,272","125,105","134,212","131,722","182,419","212,979","200,105","196,322","251,075","243,667","280,745","262,977","302,800","253,059","182,789","125,929","92,507","41,641","13,314","2,767","406"
"대구광역시  (2700000000)","2,363,691","2,363,691","61,222","96,508","106,717","110,815","140,917","153,446","141,065","138,392","176,933","186,869","217,211","197,931","199,967","151,373","110,119","74,040","59,850","29,248","9,140","1,690","238"
"인천광역시  (2800000000)","2,967,314","2,967,314","85,549","123,393","137,327","135,413","167,440","209,086","205,370","199,892","243,905","237,943","264,855","244,796","248,495","171,968","108,880","79,219","59,206","30,450","11,119","2,585","423"
"광주광역시  (2900000000)","1,431,050","1,431,050","42,499","64,478","74,173","76,684","96,222","102,397","87,822","89,595","114,453","118,287","127,993","109,886","103,591","73,741","55,443","40,626","31,601","15,081","5,215","1,090","173"
"대전광역시  (3000000000)","1,446,072","1,446,072","41,613","60,620","68,551","71,737","94,883","109,004","96,636","91,355","110,736","115,918","130,062","109,198","113,096","84,159","56,095","39,034","30,932","15,709","5,414","1,139","181"
"울산광역시  (3100000000)","1,110,663","1,110,663","32,965","52,096","56,599","53,603","59,756","69,453","68,298","71,337","92,153","89,477","104,811","99,877","96,426","66,927","41,684","25,232","18,006","8,460","2,834","608","61"
"세종특별자치시  (3600000000)","383,591","383,591","18,964","26,987","27,557","21,445","17,737","20,642","27,853","33,230","41,183","35,321","30,068","21,599","20,786","15,002","9,541","6,164","5,094","2,985","1,165","233","35"
"경기도  (4100000000)","13,589,432","13,589,432","426,327","614,627","675,472","652,254","793,049","944,242","934,442","947,858","1,152,412","1,132,191","1,233,203","1,060,219","1,030,329","720,633","462,505","346,158","266,381","137,340","47,654","10,411","1,725"
"강원도  (4200000000)","1,536,498","1,536,498","40,760","55,276","64,689","67,444","84,349","85,845","79,567","80,798","103,663","112,209","133,438","128,587","149,999","117,951","74,596","63,516","54,321","27,179","9,621","2,353","337"
"충청북도  (4300000000)","1,595,058","1,595,058","44,390","65,020","73,336","72,546","87,492","100,818","92,559","94,873","115,356","120,834","138,204","130,109","142,582","108,884","70,585","53,249","47,462","26,293","8,487","1,700","279"
"충청남도  (4400000000)","2,123,037","2,123,037","61,311","91,187","103,087","99,212","111,377","119,762","121,178","132,257","163,508","163,493","179,049","162,613","178,108","135,626","100,457","73,490","68,620","41,128","14,312","2,825","437"
"전라북도  (4500000000)","1,769,607","1,769,607","42,208","68,192","82,457","85,084","100,726","97,558","85,453","91,052","119,284","134,291","154,420","143,503","154,760","122,379","95,368","73,260","66,627","36,967","12,935","2,621","462"
"전라남도  (4600000000)","1,817,697","1,817,697","46,616","68,273","80,876","80,690","93,288","92,682","81,657","90,605","118,676","128,856","155,357","155,991","166,649","127,189","104,994","83,766","80,836","41,970","15,147","3,037","542"
"경상북도  (4700000000)","2,600,492","2,600,492","65,849","99,270","110,592","109,987","128,660","132,660","128,460","139,908","179,573","190,404","226,378","222,891","247,585","198,484","146,951","101,915","96,135","52,810","17,898","3,555","527"
"경상남도  (4800000000)","3,280,493","3,280,493","86,959","142,983","163,126","155,798","167,946","173,143","170,227","191,998","257,314","262,429","301,775","274,254","293,740","220,459","153,770","105,925","89,756","48,501","16,817","3,189","384"
"제주특별자치도  (5000000000)","678,159","678,159","21,467","33,339","36,679","34,194","37,206","40,514","37,868","41,671","55,120","55,878","62,675","54,587","51,193","37,812","25,998","20,923","16,454","9,834","3,698","818","231"
