"행정구역","2016년12월_전체세대","2016년12월_1인세대","2016년12월_2인세대","2016년12월_3인세대","2016년12월_4인세대","2016년12월_5인세대","2016년12월_6인세대","2016년12월_7인세대","2016년12월_8인세대","2016년12월_9인세대","2016년12월_10인이상세대"
"부산광역시  (2600000000)","1,451,270","490,809","333,878","282,985","257,900","65,796","15,007","3,507","875","274","239"
"부산광역시 중구 (2611000000)","23,282","11,865","5,153","3,250","2,140","622","188","48","7","3","6"
"부산광역시 서구 (2614000000)","52,497","22,786","12,266","8,501","6,381","1,881","511","115","31","11","14"
"부산광역시 동구 (2617000000)","43,036","19,275","10,211","6,664","5,004","1,387","384","75","21","6","9"
"부산광역시 영도구 (2620000000)","55,893","20,904","14,218","10,171","7,689","2,162","539","149","33","18","10"
"부산광역시 부산진구 (2623000000)","165,238","63,831","37,329","29,598","25,880","6,599","1,526","362","75","23","15"
"부산광역시 동래구 (2626000000)","107,917","32,598","24,481","21,941","21,641","5,572","1,263","305","73","25","18"
"부산광역시 남구 (2629000000)","113,791","36,597","26,801","22,569","20,727","5,390","1,266","304","93","21","23"
"부산광역시 북구 (2632000000)","120,707","33,979","27,602","25,472","25,888","6,179","1,248","246","69","15","9"
"부산광역시 해운대구 (2635000000)","165,290","48,784","36,951","34,949","33,975","8,318","1,769","379","110","31","24"
"부산광역시 사하구 (2638000000)","135,641","42,702","31,539","27,686","25,621","6,284","1,397","299","72","24","17"
"부산광역시 금정구 (2641000000)","102,522","35,952","23,458","19,559","17,512","4,524","1,116","284","60","24","33"
"부산광역시 강서구 (2644000000)","44,112","14,785","9,270","8,748","8,338","2,257","521","129","38","16","10"
"부산광역시 연제구 (2647000000)","84,398","26,902","19,750","16,968","15,677","3,911","913","188","60","18","11"
"부산광역시 수영구 (2650000000)","77,733","28,312","18,781","14,947","11,633","3,073","743","178","44","10","12"
"부산광역시 사상구 (2653000000)","96,403","32,468","21,738","19,186","17,482","4,300","912","249","45","14","9"
"부산광역시 기장군 (2671000000)","62,810","19,069","14,330","12,776","12,312","3,337","711","197","44","15","19"
