"행정구역","2016년12월_전체세대","2016년12월_1인세대","2016년12월_2인세대","2016년12월_3인세대","2016년12월_4인세대","2016년12월_5인세대","2016년12월_6인세대","2016년12월_7인세대","2016년12월_8인세대","2016년12월_9인세대","2016년12월_10인이상세대"
"전국  (1000000000)","21,294,009","7,446,665","4,568,962","3,927,088","3,943,543","1,077,119","245,845","59,972","15,738","4,963","4,114"
"서울특별시  (1100000000)","4,189,839","1,561,533","847,102","778,997","761,414","184,019","41,957","10,351","2,883","929","654"
"부산광역시  (2600000000)","1,451,270","490,809","333,878","282,985","257,900","65,796","15,007","3,507","875","274","239"
"대구광역시  (2700000000)","994,220","315,016","217,125","199,229","198,903","50,042","10,749","2,342","524","153","137"
"인천광역시  (2800000000)","1,171,399","373,035","245,352","234,833","240,600","60,641","12,827","2,947","764","229","171"
"광주광역시  (2900000000)","586,464","195,232","121,171","110,136","113,233","36,826","7,546","1,666","415","141","98"
"대전광역시  (3000000000)","606,137","200,445","126,188","115,691","119,895","33,999","7,477","1,731","464","137","110"
"울산광역시  (3100000000)","455,352","136,470","93,165","92,642","102,777","24,241","4,652","1,011","257","82","55"
"세종특별자치시  (3600000000)","94,343","30,520","18,179","17,491","19,864","6,259","1,515","371","94","31","19"
"경기도  (4100000000)","5,003,406","1,599,701","999,199","972,616","1,077,123","275,044","59,865","14,182","3,761","1,114","801"
"강원도  (4200000000)","692,254","279,691","162,789","111,761","96,732","30,643","7,825","2,056","481","152","124"
"충청북도  (4300000000)","680,960","256,432","156,307","114,189","108,950","34,196","8,129","1,989","471","147","150"
"충청남도  (4400000000)","902,294","346,000","207,370","146,370","141,521","45,418","11,287","3,072","789","255","212"
"전라북도  (4500000000)","790,084","292,875","187,042","130,358","119,344","44,244","11,636","3,059","860","348","318"
"전라남도  (4600000000)","842,688","340,027","204,372","126,974","111,022","43,807","11,613","3,294","950","299","330"
"경상북도  (4700000000)","1,180,643","451,578","284,604","197,189","177,739","51,893","13,012","3,263","830","257","278"
"경상남도  (4800000000)","1,385,684","474,968","310,301","251,844","254,821","72,203","16,100","3,849","956","311","331"
"제주특별자치도  (5000000000)","266,972","102,333","54,818","43,783","41,705","17,848","4,648","1,282","364","104","87"
