"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~9세","2016년_계_10~19세","2016년_계_20~29세","2016년_계_30~39세","2016년_계_40~49세","2016년_계_50~59세","2016년_계_60~69세","2016년_계_70~79세","2016년_계_80~89세","2016년_계_90~99세","2016년_계_100세 이상","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~9세","2016년_남_10~19세","2016년_남_20~29세","2016년_남_30~39세","2016년_남_40~49세","2016년_남_50~59세","2016년_남_60~69세","2016년_남_70~79세","2016년_남_80~89세","2016년_남_90~99세","2016년_남_100세 이상","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~9세","2016년_여_10~19세","2016년_여_20~29세","2016년_여_30~39세","2016년_여_40~49세","2016년_여_50~59세","2016년_여_60~69세","2016년_여_70~79세","2016년_여_80~89세","2016년_여_90~99세","2016년_여_100세 이상"
"부산광역시 중구 (2611000000)","11,865","11,865","1","42","1,307","1,410","1,819","2,453","2,422","1,598","650","113","50","5,933","5,933","0","14","662","881","1,126","1,416","1,108","536","148","35","7","5,932","5,932","1","28","645","529","693","1,037","1,314","1,062","502","78","43"
"부산광역시 서구 (2614000000)","22,786","22,786","2","82","2,666","2,280","3,051","4,650","4,705","3,435","1,579","240","96","10,772","10,772","2","33","1,158","1,368","1,978","2,740","2,093","989","322","65","24","12,014","12,014","0","49","1,508","912","1,073","1,910","2,612","2,446","1,257","175","72"
"부산광역시 동구 (2617000000)","19,275","19,275","6","37","1,366","1,940","2,784","4,094","4,070","3,221","1,508","174","75","9,417","9,417","2","19","683","1,258","1,798","2,516","1,877","909","285","50","20","9,858","9,858","4","18","683","682","986","1,578","2,193","2,312","1,223","124","55"
"부산광역시 영도구 (2620000000)","20,904","20,904","3","70","1,239","1,682","2,854","4,490","4,860","3,824","1,599","207","76","10,090","10,090","3","46","806","1,086","1,896","2,763","2,142","996","275","55","22","10,814","10,814","0","24","433","596","958","1,727","2,718","2,828","1,324","152","54"
"부산광역시 부산진구 (2623000000)","63,831","63,831","5","194","10,127","10,044","9,348","11,508","10,854","7,856","3,318","397","180","29,915","29,915","4","93","4,387","5,677","5,666","6,486","4,646","2,177","642","104","33","33,916","33,916","1","101","5,740","4,367","3,682","5,022","6,208","5,679","2,676","293","147"
"부산광역시 동래구 (2626000000)","32,598","32,598","7","74","2,891","4,717","5,128","6,810","6,598","4,252","1,807","221","93","15,055","15,055","4","39","1,377","2,781","3,058","3,541","2,614","1,210","360","53","18","17,543","17,543","3","35","1,514","1,936","2,070","3,269","3,984","3,042","1,447","168","75"
"부산광역시 남구 (2629000000)","36,597","36,597","9","237","5,682","4,464","5,503","6,605","6,668","4,987","2,104","250","88","17,203","17,203","6","91","2,937","2,764","3,423","3,630","2,594","1,313","363","64","18","19,394","19,394","3","146","2,745","1,700","2,080","2,975","4,074","3,674","1,741","186","70"
"부산광역시 북구 (2632000000)","33,979","33,979","8","101","2,670","4,231","5,221","7,733","7,072","4,742","1,993","152","56","16,352","16,352","5","65","1,432","2,796","3,259","4,133","2,896","1,334","388","30","14","17,627","17,627","3","36","1,238","1,435","1,962","3,600","4,176","3,408","1,605","122","42"
"부산광역시 해운대구 (2635000000)","48,784","48,784","21","128","4,233","7,533","8,433","9,602","9,148","6,417","2,847","316","106","21,347","21,347","11","73","1,956","4,100","4,694","4,828","3,439","1,636","514","71","25","27,437","27,437","10","55","2,277","3,433","3,739","4,774","5,709","4,781","2,333","245","81"
"부산광역시 사하구 (2638000000)","42,702","42,702","15","137","4,064","5,754","6,826","9,263","8,462","5,543","2,215","287","136","21,913","21,913","10","67","2,386","3,936","4,514","5,248","3,569","1,634","457","63","29","20,789","20,789","5","70","1,678","1,818","2,312","4,015","4,893","3,909","1,758","224","107"
"부산광역시 금정구 (2641000000)","35,952","35,952","9","324","6,023","4,200","5,068","6,809","6,568","4,612","2,035","208","96","17,152","17,152","7","128","3,360","2,587","3,025","3,597","2,635","1,321","430","44","18","18,800","18,800","2","196","2,663","1,613","2,043","3,212","3,933","3,291","1,605","164","78"
"부산광역시 강서구 (2644000000)","14,785","14,785","4","30","1,275","2,752","2,419","3,329","2,667","1,543","662","78","26","9,075","9,075","2","22","830","2,116","1,751","2,171","1,459","573","127","16","8","5,710","5,710","2","8","445","636","668","1,158","1,208","970","535","62","18"
"부산광역시 연제구 (2647000000)","26,902","26,902","4","84","2,742","3,796","4,358","5,496","5,320","3,424","1,464","172","42","12,543","12,543","3","38","1,221","2,222","2,588","2,948","2,169","982","311","48","13","14,359","14,359","1","46","1,521","1,574","1,770","2,548","3,151","2,442","1,153","124","29"
"부산광역시 수영구 (2650000000)","28,312","28,312","4","90","3,922","5,124","4,388","5,008","4,858","3,239","1,497","146","36","12,491","12,491","2","37","1,730","2,854","2,403","2,425","1,796","904","307","27","6","15,821","15,821","2","53","2,192","2,270","1,985","2,583","3,062","2,335","1,190","119","30"
"부산광역시 사상구 (2653000000)","32,468","32,468","22","112","2,866","4,066","5,690","7,979","6,404","3,764","1,402","117","46","17,274","17,274","7","46","1,459","2,609","3,938","4,936","2,871","1,124","261","18","5","15,194","15,194","15","66","1,407","1,457","1,752","3,043","3,533","2,640","1,141","99","41"
"부산광역시 기장군 (2671000000)","19,069","19,069","0","33","1,409","2,984","3,277","3,869","3,684","2,465","1,146","176","26","9,485","9,485","0","21","861","2,023","1,995","2,045","1,605","691","206","34","4","9,584","9,584","0","12","548","961","1,282","1,824","2,079","1,774","940","142","22"
