"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상"
"전국  (1000000000)","8,085,526","8,085,526","2,860","33,113","1,082,205","1,332,773","1,278,751","1,535,742","1,297,279","920,364","513,246","75,656","13,537","4,183,988","4,183,988","1,445","15,941","581,802","858,349","825,506","904,321","602,243","276,526","100,479","14,193","3,183","3,901,538","3,901,538","1,415","17,172","500,403","474,424","453,245","631,421","695,036","643,838","412,767","61,463","10,354"
"서울특별시  (1100000000)","1,679,049","1,679,049","566","8,470","323,672","359,519","260,216","257,610","227,289","155,711","69,717","11,965","4,314","831,174","831,174","283","3,521","146,869","204,065","153,992","150,800","101,750","49,914","16,086","2,863","1,031","847,875","847,875","283","4,949","176,803","155,454","106,224","106,810","125,539","105,797","53,631","9,102","3,283"
"부산광역시  (2600000000)","532,193","532,193","130","1,940","66,458","71,477","74,293","99,569","106,221","73,319","33,242","4,252","1,292","254,896","254,896","69","838","32,768","43,943","45,623","56,251","45,918","21,493","6,818","903","272","277,297","277,297","61","1,102","33,690","27,534","28,670","43,318","60,303","51,826","26,424","3,349","1,020"
"대구광역시  (2700000000)","344,096","344,096","133","1,053","39,987","48,861","52,880","69,838","62,684","43,278","22,205","2,705","472","167,459","167,459","55","524","20,929","31,387","33,124","38,708","26,078","11,830","4,220","492","112","176,637","176,637","78","529","19,058","17,474","19,756","31,130","36,606","31,448","17,985","2,213","360"
"인천광역시  (2800000000)","407,706","407,706","177","1,121","48,108","68,201","72,232","85,402","65,925","41,433","21,186","3,365","556","221,120","221,120","90","525","27,121","45,282","47,640","51,215","31,197","13,007","4,281","633","129","186,586","186,586","87","596","20,987","22,919","24,592","34,187","34,728","28,426","16,905","2,732","427"
"광주광역시  (2900000000)","211,663","211,663","97","905","29,762","38,304","35,132","39,529","31,883","22,893","11,426","1,477","255","109,382","109,382","48","430","15,526","24,924","23,288","22,089","13,930","6,570","2,293","254","30","102,281","102,281","49","475","14,236","13,380","11,844","17,440","17,953","16,323","9,133","1,223","225"
"대전광역시  (3000000000)","225,131","225,131","68","1,303","42,939","40,354","34,375","39,584","33,003","20,985","10,779","1,540","201","117,147","117,147","30","589","22,530","25,885","21,836","22,236","14,732","6,558","2,375","320","56","107,984","107,984","38","714","20,409","14,469","12,539","17,348","18,271","14,427","8,404","1,220","145"
"울산광역시  (3100000000)","143,657","143,657","53","239","16,150","24,967","26,289","30,598","24,964","13,719","5,848","724","106","82,349","82,349","31","128","10,651","18,495","17,968","17,905","11,582","4,351","1,110","103","25","61,308","61,308","22","111","5,499","6,472","8,321","12,693","13,382","9,368","4,738","621","81"
"세종특별자치시  (3600000000)","39,699","39,699","19","206","7,449","9,213","6,726","6,590","4,727","2,836","1,667","240","26","21,293","21,293","6","97","3,841","5,874","4,146","3,769","2,270","892","345","47","6","18,406","18,406","13","109","3,608","3,339","2,580","2,821","2,457","1,944","1,322","193","20"
"경기도  (4100000000)","1,779,427","1,779,427","751","5,783","236,045","331,539","318,688","351,543","265,650","168,597","85,236","13,001","2,594","988,119","988,119","395","2,832","138,628","224,471","208,875","210,935","125,531","54,320","18,762","2,698","672","791,308","791,308","356","2,951","97,417","107,068","109,813","140,608","140,119","114,277","66,474","10,303","1,922"
"강원도  (4200000000)","292,968","292,968","66","2,143","36,313","31,718","40,335","62,257","53,257","40,113","22,555","3,693","518","151,932","151,932","31","1,103","23,548","20,681","26,399","36,395","25,842","12,469","4,598","706","160","141,036","141,036","35","1,040","12,765","11,037","13,936","25,862","27,415","27,644","17,957","2,987","358"
"충청북도  (4300000000)","278,667","278,667","111","1,342","36,342","38,974","41,443","56,731","45,801","33,353","21,384","2,838","348","147,461","147,461","56","660","22,106","26,546","27,422","33,291","22,284","10,110","4,318","562","106","131,206","131,206","55","682","14,236","12,428","14,021","23,440","23,517","23,243","17,066","2,276","242"
"충청남도  (4400000000)","376,190","376,190","134","1,785","46,680","56,788","56,114","73,068","59,063","45,237","32,169","4,606","546","202,858","202,858","70","831","27,707","40,894","38,782","44,340","29,129","13,684","6,424","865","132","173,332","173,332","64","954","18,973","15,894","17,332","28,728","29,934","31,553","25,745","3,741","414"
"전라북도  (4500000000)","313,716","313,716","100","1,440","27,523","35,243","44,323","62,856","56,129","47,946","32,906","4,741","509","154,824","154,824","49","815","15,323","23,647","30,336","37,747","27,026","13,328","5,677","769","107","158,892","158,892","51","625","12,200","11,596","13,987","25,109","29,103","34,618","27,229","3,972","402"
"전라남도  (4600000000)","361,281","361,281","96","1,563","26,518","36,247","49,343","73,172","62,534","61,263","43,779","6,195","571","176,844","176,844","44","867","15,830","24,959","34,807","45,559","31,452","15,852","6,538","852","84","184,437","184,437","52","696","10,688","11,288","14,536","27,613","31,082","45,411","37,241","5,343","487"
"경상북도  (4700000000)","479,564","479,564","145","2,036","44,871","57,615","65,470","96,367","87,058","70,146","48,162","7,113","581","238,570","238,570","78","1,233","26,946","39,715","43,893","56,321","41,234","19,557","8,372","1,083","138","240,994","240,994","67","803","17,925","17,900","21,577","40,046","45,824","50,589","39,790","6,030","443"
"경상남도  (4800000000)","505,587","505,587","183","1,445","42,462","67,008","78,016","104,802","93,468","68,549","43,461","5,709","484","257,529","257,529","94","797","25,629","46,996","52,670","60,842","43,633","18,949","6,913","904","102","248,058","248,058","89","648","16,833","20,012","25,346","43,960","49,835","49,600","36,548","4,805","382"
"제주특별자치도  (5000000000)","114,932","114,932","31","339","10,926","16,745","22,876","26,226","17,623","10,986","7,524","1,492","164","61,031","61,031","16","151","5,850","10,585","14,705","15,918","8,655","3,642","1,349","139","21","53,901","53,901","15","188","5,076","6,160","8,171","10,308","8,968","7,344","6,175","1,353","143"
