"행정구역","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~4세","2023년_계_5~9세","2023년_계_10~14세","2023년_계_15~19세","2023년_계_20~24세","2023년_계_25~29세","2023년_계_30~34세","2023년_계_35~39세","2023년_계_40~44세","2023년_계_45~49세","2023년_계_50~54세","2023년_계_55~59세","2023년_계_60~64세","2023년_계_65~69세","2023년_계_70~74세","2023년_계_75~79세","2023년_계_80~84세","2023년_계_85~89세","2023년_계_90~94세","2023년_계_95~99세","2023년_계_100세 이상"
"부산광역시 중구 (2611000000)","14,674","14,674","0","0","1","58","992","1,748","1,295","687","668","745","1,078","1,143","1,493","1,550","1,132","854","684","373","123","41","9"
"부산광역시 서구 (2614000000)","26,085","26,085","1","4","1","132","1,892","2,359","1,612","985","1,184","1,223","1,752","2,014","2,801","2,917","2,348","1,861","1,719","917","279","79","5"
"부산광역시 동구 (2617000000)","24,207","24,207","1","5","7","18","616","2,033","1,992","1,231","1,318","1,306","1,836","1,988","2,536","2,652","2,095","1,747","1,592","885","280","64","5"
"부산광역시 영도구 (2620000000)","24,659","24,659","0","3","4","47","705","995","1,129","865","1,170","1,278","1,886","2,269","3,045","3,192","2,558","2,253","1,959","965","274","58","4"
"부산광역시 부산진구 (2623000000)","85,125","85,125","1","4","10","311","6,714","12,015","9,673","5,381","4,986","4,319","5,444","5,619","7,147","7,158","5,412","4,315","3,883","1,985","618","115","15"
"부산광역시 동래구 (2626000000)","42,932","42,932","0","4","4","72","1,397","3,706","3,859","2,547","2,866","2,443","3,277","3,307","4,420","4,756","3,576","2,746","2,317","1,185","386","59","5"
"부산광역시 남구 (2629000000)","47,609","47,609","0","7","7","406","5,615","4,988","3,618","2,352","2,560","2,342","3,202","3,198","4,055","4,411","3,547","2,993","2,539","1,291","393","76","9"
"부산광역시 북구 (2632000000)","43,789","43,789","1","5","7","49","921","2,517","3,038","2,113","2,453","2,246","3,290","4,210","5,665","5,724","4,007","3,038","2,647","1,350","422","74","12"
"부산광역시 해운대구 (2635000000)","60,896","60,896","3","15","17","78","1,581","4,505","5,042","3,743","4,167","3,889","5,028","5,126","6,266","6,388","5,029","3,909","3,503","1,890","575","120","22"
"부산광역시 사하구 (2638000000)","56,770","56,770","0","11","23","205","2,933","4,103","3,739","2,795","3,404","3,181","4,446","5,021","6,512","6,535","4,889","3,850","3,053","1,496","463","99","12"
"부산광역시 금정구 (2641000000)","47,015","47,015","2","4","11","338","5,148","4,829","3,307","2,022","2,279","2,211","3,113","3,554","4,625","4,696","3,641","2,948","2,425","1,381","412","63","6"
"부산광역시 강서구 (2644000000)","23,747","23,747","0","1","6","33","663","2,569","2,959","2,103","2,101","1,696","1,820","1,920","2,318","2,109","1,338","883","721","351","133","22","1"
"부산광역시 연제구 (2647000000)","37,786","37,786","1","5","7","69","1,533","3,858","3,902","2,423","2,381","2,050","2,602","2,800","3,653","3,893","2,929","2,390","1,950","992","297","47","4"
"부산광역시 수영구 (2650000000)","41,182","41,182","1","8","13","88","2,036","6,080","5,401","2,864","2,629","2,204","2,630","2,486","3,182","3,452","2,679","2,191","1,837","983","342","66","10"
"부산광역시 사상구 (2653000000)","43,726","43,726","3","14","24","197","2,628","3,875","3,439","2,039","2,376","2,336","3,250","4,244","5,374","4,878","3,416","2,569","1,842","920","264","33","5"
"부산광역시 기장군 (2671000000)","30,037","30,037","0","4","8","38","623","2,317","2,523","1,844","2,222","2,116","2,559","2,561","3,145","3,094","2,384","1,960","1,505","804","264","58","8"
