"행정구역","2011년_계_총인구수","2011년_계_연령구간인구수","2011년_계_0~4세","2011년_계_5~9세","2011년_계_10~14세","2011년_계_15~19세","2011년_계_20~24세","2011년_계_25~29세","2011년_계_30~34세","2011년_계_35~39세","2011년_계_40~44세","2011년_계_45~49세","2011년_계_50~54세","2011년_계_55~59세","2011년_계_60~64세","2011년_계_65~69세","2011년_계_70~74세","2011년_계_75~79세","2011년_계_80~84세","2011년_계_85~89세","2011년_계_90~94세","2011년_계_95~99세","2011년_계_100세 이상"
"서울특별시  (1100000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"부산광역시  (2600000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"대구광역시  (2700000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"인천광역시  (2800000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"광주광역시  (2900000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"대전광역시  (3000000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"울산광역시  (3100000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도  (4100000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"강원도  (4200000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"충청북도  (4300000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"충청남도  (4400000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전라북도  (4500000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"전라남도  (4600000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상북도  (4700000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경상남도  (4800000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"제주특별자치도  (5000000000)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
