year,region,elderly_alone,elderly_total,elderly_alone_rate,single_household_rate
2010,전국,1066365,5506352,19.4,33.3
2010,부산,80686,401784,20.1,29.9
2011,전국,,5700972,,33.3
2011,부산,,418043,,30.5
2012,전국,,5980060,,33.3
2012,부산,,442199,,30.9
2013,전국,,6250986,,33.6
2013,부산,,467416,,31.5
2014,전국,,6520607,,34
2014,부산,,492116,,32.3
2015,전국,1223169,6775101,18.1,34.5
2015,부산,97051,514630,18.9,33
2016,전국,1294453,6995652,18.5,35
2016,부산,102877,536064,19.2,33.8
2017,전국,1370962,7356106,18.6,35.7
2017,부산,109391,565527,19.3,35
2018,전국,1444588,7650408,18.9,36.7
2018,부산,116589,589961,19.8,35.9
2019,전국,1532847,8026915,19.1,37.8
2019,부산,124735,620123,20.1,37.1
2020,전국,1660711,8496077,19.5,39.2
2020,부산,135957,657711,20.7,38.7
2021,전국,1824434,8851033,20.6,40.3
2021,부산,148148,681885,21.7,39.9
2022,전국,1973416,9267290,21.3,41
2022,부산,160609,712412,22.5,40.8
2023,전국,2138107,9730411,22,41.5
2023,부산,174540,745199,23.4,41.6
2024,전국,2288807,10256782,22.3,42
2024,부산,187176,780576,24,42.1
