sgg_code,sgg_name,year,population,elderly_alone,elderly_alone_rate,aging_rate,single_household_rate,old_housing_rate,is_old_downtown
21010,중구,2016,45208,2395,24.7,21.5,51,45.4,true
21020,서구,2016,112973,5264,22,21.2,43.4,44.6,false
21030,동구,2016,89826,4829,23.7,22.6,44.8,56,true
21040,영도구,2016,126362,6069,22.3,21.5,37.4,40.9,true
21050,부산진구,2016,376526,12042,19.9,16.1,38.6,32.4,false
21060,동래구,2016,272745,6856,17,14.8,30.2,33.5,false
21070,남구,2016,278779,7705,16.8,16.4,32.2,30.1,false
21080,북구,2016,310202,8210,21.3,12.4,28.1,13.2,false
21090,해운대구,2016,419853,10712,18.8,13.5,29.5,13.6,false
21100,사하구,2016,334603,8940,19.1,14,31.5,28.9,true
21110,금정구,2016,244624,7264,18.4,16.1,35.1,27,false
21120,강서구,2016,108909,1858,15,11.3,33.5,12.8,false
21130,연제구,2016,207268,5381,16.9,15.4,31.9,33.5,false
21140,수영구,2016,179324,5251,17,17.2,36.4,37.9,false
21150,사상구,2016,232800,6332,20.7,13.1,33.7,26.9,true
21310,기장군,2016,158527,3769,17.9,13.3,30.4,8.9,false
21010,중구,2017,44218,2444,24.2,22.8,52.4,44.1,true
21020,서구,2017,110039,5361,21.9,22.2,44.5,42.3,false
21030,동구,2017,88868,4999,23.7,23.7,45.9,53.9,true
21040,영도구,2017,123521,6321,22.3,22.9,38.5,39.6,true
21050,부산진구,2017,371703,12664,20.1,16.9,39.9,31,false
21060,동래구,2017,270727,7314,17.1,15.8,30.9,31.8,false
21070,남구,2017,273854,8233,17.2,17.5,33.3,29.6,false
21080,북구,2017,302924,8860,21.6,13.5,29.4,12.9,false
21090,해운대구,2017,412039,11408,19,14.5,30.6,13.3,false
21100,사하구,2017,333301,9629,19.2,15.1,32.5,27.8,true
21110,금정구,2017,244469,7803,18.6,17.2,36.3,26.2,false
21120,강서구,2017,117382,2007,15.2,11.2,33.8,10.7,false
21130,연제구,2017,206742,5762,17.1,16.3,33.1,30.6,false
21140,수영구,2017,179996,5582,17.1,18.1,37.9,34.9,false
21150,사상구,2017,229219,6850,20.9,14.3,35.1,25.9,true
21310,기장군,2017,161651,4154,18.3,14,32.4,8,false
21010,중구,2018,42795,2578,24.8,24.3,53.5,43.5,true
21020,서구,2018,110534,5657,22.4,22.8,45.1,40.1,false
21030,동구,2018,86912,5137,24,24.6,47,51.8,true
21040,영도구,2018,120109,6696,23,24.2,39.8,39.1,true
21050,부산진구,2018,362357,13147,20.4,17.8,40.9,29.8,false
21060,동래구,2018,266515,7774,17.6,16.6,31.6,30.5,false
21070,남구,2018,279917,8781,17.5,17.9,33.6,27.7,false
21080,북구,2018,296952,9456,21.9,14.5,30.3,12.3,false
21090,해운대구,2018,409347,12188,19.4,15.3,31.4,13,false
21100,사하구,2018,327791,10457,19.8,16.1,33.9,27.2,true
21110,금정구,2018,242956,8470,19.1,18.3,37.5,25.5,false
21120,강서구,2018,122957,2190,15.5,11.5,34.3,9.8,false
21130,연제구,2018,207840,6252,17.6,17.1,34.2,29.4,false
21140,수영구,2018,176246,5973,17.7,19.2,39.4,33.7,false
21150,사상구,2018,223361,7302,21.3,15.4,36.3,25.3,true
21310,기장군,2018,164864,4531,18.8,14.6,33.4,7.6,false
21010,중구,2019,41910,2661,24.8,25.6,55.4,42.7,true
21020,서구,2019,108229,5906,22.7,24.1,46.3,37.9,false
21030,동구,2019,88165,5320,23.9,25.2,47.9,48.6,true
21040,영도구,2019,116711,7006,23.3,25.8,40.9,38.5,true
21050,부산진구,2019,357880,13841,20.6,18.8,42.3,28.2,false
21060,동래구,2019,271247,8400,17.9,17.3,32.1,29.1,false
21070,남구,2019,274480,9166,17.7,18.8,34.8,25,false
21080,북구,2019,291132,10211,22.2,15.8,31.5,11.6,false
21090,해운대구,2019,406102,13091,19.8,16.3,32.5,12.6,false
21100,사하구,2019,321004,11382,20.3,17.4,35.3,26.6,true
21110,금정구,2019,239062,9091,19.5,19.5,38.9,24.4,false
21120,강서구,2019,129566,2254,14.8,11.7,34.9,8.5,false
21130,연제구,2019,209395,7003,18.5,18.1,35.2,27.3,false
21140,수영구,2019,176148,6525,18.3,20.2,40.7,31.5,false
21150,사상구,2019,218094,7939,21.8,16.7,37.6,24.6,true
21310,기장군,2019,164716,4939,19.5,15.4,34.7,7.3,false
21010,중구,2020,41523,2971,26.3,27.2,57.9,42,true
21020,서구,2020,108135,6353,23.2,25.3,47.2,36.2,false
21030,동구,2020,88901,5694,24.4,26.3,48.8,46.1,true
21040,영도구,2020,113342,7479,23.8,27.8,42.7,38.2,true
21050,부산진구,2020,359886,14945,21.1,19.7,44.1,26.6,false
21060,동래구,2020,270745,9283,18.6,18.4,33.7,26.3,false
21070,남구,2020,267731,9880,18.3,20.1,36.8,24.1,false
21080,북구,2020,283952,11219,22.8,17.4,32.9,11.5,false
21090,해운대구,2020,402169,14291,20.3,17.5,33.9,12.3,false
21100,사하구,2020,311757,12524,21,19.1,37.1,26.5,true
21110,금정구,2020,232666,9819,20.1,21,40.8,24.1,false
21120,강서구,2020,137957,2607,15.7,12.1,35.6,7.4,false
21130,연제구,2020,209157,7714,19,19.4,36.6,26.1,false
21140,수영구,2020,176894,7135,19,21.3,42.5,29.8,false
21150,사상구,2020,212586,8718,22.4,18.3,39.7,24.5,true
21310,기장군,2020,174545,5325,19.2,15.9,35.6,6.6,false
21010,중구,2021,40524,3197,28.5,27.7,59.2,40.9,true
21020,서구,2021,105164,6801,24.7,26.2,47.4,34.7,false
21030,동구,2021,87679,6046,25.4,27.1,50.1,44.9,true
21040,영도구,2021,110638,8037,25.1,28.9,43.5,36.9,true
21050,부산진구,2021,353159,16175,22.4,20.5,45,26,false
21060,동래구,2021,266866,10154,19.6,19.4,34.9,25.9,false
21070,남구,2021,262069,10797,19.5,21.1,38,23.3,false
21080,북구,2021,283211,12228,23.3,18.5,33.9,10.5,false
21090,해운대구,2021,396438,15476,21.1,18.5,34.9,12,false
21100,사하구,2021,306003,13624,21.9,20.4,38.3,25.8,true
21110,금정구,2021,228049,10652,21.1,22.1,42.3,23.5,false
21120,강서구,2021,142918,2880,16.1,12.5,37.1,7.3,false
21130,연제구,2021,207144,8455,20,20.4,37.6,25.3,false
21140,수영구,2021,175095,7858,20.2,22.3,44.5,28.8,false
21150,사상구,2021,208298,9557,23.4,19.6,41.6,23.9,true
21310,기장군,2021,177125,6211,21.2,16.6,36.3,5.2,false
21010,중구,2022,39689,3449,30.1,28.9,60.7,40.7,true
21020,서구,2022,105192,7316,25.7,27,48,33,false
21030,동구,2022,86462,6403,26.3,28.2,50.7,43.2,true
21040,영도구,2022,108156,8505,25.9,30.3,44.4,35.9,true
21050,부산진구,2022,355917,17421,23,21.3,46.2,24.5,false
