year,region,sex,age_band,deaths,share_pct
2022,전국,남,40대,423,11.9
2022,전국,남,50대,946,26.6
2022,전국,남,60대,979,27.5
2022,전국,남,70대,339,9.5
2022,전국,남,80대이상,118,3.3
2022,전국,여,40대,97,2.7
2022,전국,여,50대,121,3.4
2022,전국,여,60대,128,3.6
2022,전국,여,70대,91,2.6
2022,전국,여,80대이상,68,1.9
2023,전국,남,40대,402,11
2023,전국,남,50대,970,26.5
2023,전국,남,60대,1004,27.4
2023,전국,남,70대,387,10.6
2023,전국,남,80대이상,135,3.7
2023,전국,여,40대,98,2.7
2023,전국,여,50대,123,3.4
2023,전국,여,60대,138,3.8
2023,전국,여,70대,79,2.2
2023,전국,여,80대이상,67,1.8
2024,전국,남,40대,400,10.2
2024,전국,남,50대,1028,26.2
2024,전국,남,60대,1089,27.8
2024,전국,남,70대,403,10.3
2024,전국,남,80대이상,130,3.3
2024,전국,여,40대,104,2.7
2024,전국,여,50대,141,3.6
2024,전국,여,60대,147,3.7
2024,전국,여,70대,79,2
2024,전국,여,80대이상,65,1.7
