year,region,sex,age_band,households,share_pct
2019,전국,남,40대,824426,18.8
2019,전국,남,50대,929139,21.2
2019,전국,남,60대,663041,15.1
2019,전국,남,70대,295462,6.7
2019,전국,남,80대이상,130383,3
2019,전국,여,40대,455443,11.1
2019,전국,여,50대,637668,15.5
2019,전국,여,60대,744809,18.1
2019,전국,여,70대,661009,16.1
2019,전국,여,80대이상,530762,12.9
2019,부산,남,40대,45106,17
2019,부산,남,50대,56737,21.4
2019,부산,남,60대,49353,18.6
2019,부산,남,70대,23050,8.7
2019,부산,남,80대이상,8869,3.4
2019,부산,여,40대,28639,9.8
2019,부산,여,50대,42918,14.7
2019,부산,여,60대,63420,21.8
2019,부산,여,70대,54221,18.6
2019,부산,여,80대이상,34035,11.7
2020,전국,남,40대,837979,18
2020,전국,남,50대,956007,20.5
2020,전국,남,60대,742241,15.9
2020,전국,남,70대,316907,6.8
2020,전국,남,80대이상,142419,3.1
2020,전국,여,40대,465989,10.6
2020,전국,여,50대,650854,14.8
2020,전국,여,60대,819448,18.6
2020,전국,여,70대,689022,15.7
2020,전국,여,80대이상,574046,13.1
2020,부산,남,40대,45845,16.4
2020,부산,남,50대,57261,20.4
2020,부산,남,60대,53748,19.2
2020,부산,남,70대,24549,8.8
2020,부산,남,80대이상,9833,3.5
2020,부산,여,40대,29541,9.5
2020,부산,여,50대,42736,13.7
2020,부산,여,60대,68552,22
2020,부산,여,70대,56910,18.2
2020,부산,여,80대이상,37418,12
2021,전국,남,40대,839702,17.2
2021,전국,남,50대,971538,19.9
2021,전국,남,60대,811061,16.6
2021,전국,남,70대,325100,6.7
2021,전국,남,80대이상,144534,3
2021,전국,여,40대,464144,10.1
2021,전국,여,50대,649149,14.2
2021,전국,여,60대,874407,19.1
2021,전국,여,70대,687591,15
2021,전국,여,80대이상,603014,13.2
2021,부산,남,40대,46175,15.8
2021,부산,남,50대,57035,19.5
2021,부산,남,60대,56591,19.4
2021,부산,남,70대,25149,8.6
2021,부산,남,80대이상,9858,3.4
2021,부산,여,40대,29359,9.1
2021,부산,여,50대,41878,12.9
2021,부산,여,60대,71149,22
2021,부산,여,70대,57350,17.7
2021,부산,여,80대이상,39182,12.1
2022,전국,남,40대,835441,16.7
2022,전국,남,50대,973455,19.4
2022,전국,남,60대,858491,17.1
2022,전국,남,70대,347524,6.9
2022,전국,남,80대이상,157720,3.1
2022,전국,여,40대,461748,9.8
2022,전국,여,50대,642915,13.7
2022,전국,여,60대,899854,19.1
2022,전국,여,70대,697354,14.8
2022,전국,여,80대이상,653006,13.9
2022,부산,남,40대,46207,15.4
2022,부산,남,50대,56467,18.8
2022,부산,남,60대,58469,19.5
2022,부산,남,70대,26961,9
2022,부산,남,80대이상,10735,3.6
2022,부산,여,40대,29202,8.7
2022,부산,여,50대,41417,12.4
2022,부산,여,60대,72031,21.5
2022,부산,여,70대,59728,17.8
2022,부산,여,80대이상,43297,12.9
2023,전국,남,40대,828604,16.2
2023,전국,남,50대,985592,19.3
2023,전국,남,60대,906245,17.7
2023,전국,남,70대,373936,7.3
2023,전국,남,80대이상,168176,3.3
2023,전국,여,40대,455854,9.5
2023,전국,여,50대,648652,13.5
2023,전국,여,60대,926031,19.2
2023,전국,여,70대,719150,14.9
2023,전국,여,80대이상,692065,14.4
2023,부산,남,40대,45714,14.9
2023,부산,남,50대,56737,18.5
2023,부산,남,60대,60517,19.8
2023,부산,남,70대,29054,9.5
2023,부산,남,80대이상,11789,3.8
2023,부산,여,40대,28635,8.3
2023,부산,여,50대,41936,12.2
2023,부산,여,60대,73125,21.3
2023,부산,여,70대,62433,18.1
2023,부산,여,80대이상,46886,13.6
2024,전국,남,40대,817761,15.7
2024,전국,남,50대,992379,19.1
2024,전국,남,60대,947852,18.2
2024,전국,남,70대,410179,7.9
2024,전국,남,80대이상,179329,3.4
2024,전국,여,40대,450250,9.1
2024,전국,여,50대,649409,13.2
2024,전국,여,60대,948003,19.3
2024,전국,여,70대,755081,15.3
2024,전국,여,80대이상,726417,14.8
2024,부산,남,40대,45176,14.6
2024,부산,남,50대,56810,18.3
2024,부산,남,60대,61762,19.9
2024,부산,남,70대,31630,10.2
2024,부산,남,80대이상,12756,4.1
2024,부산,여,40대,28270,8
2024,부산,여,50대,41963,11.9
2024,부산,여,60대,73581,20.9
2024,부산,여,70대,65691,18.7
2024,부산,여,80대이상,50263,14.3
